Finding No,Insight
1,NAV trends showed consistent long-term growth across most schemes.
2,SBI Mutual Fund maintained the highest AUM among fund houses.
3,Monthly SIP inflows increased steadily over the analysis period.
4,SIP inflows reached their peak in December 2025.
5,Equity-oriented categories attracted the highest net inflows.
6,Investors aged 26-35 contributed the largest investment volume.
7,Tier-1 cities accounted for a majority of investments.
8,Industry folio counts nearly doubled between 2022 and 2025.
9,Most selected funds exhibited positive return correlations.
10,Financial Services and Technology sectors dominated portfolio allocations.
